timestamp_logger,id_publicador,modelo,timestamp_envio,timestamp_recebido,latencia_ms,tempo_inferencia_ms,resultado
1778349725.9166005,esp32,CNN_32x32_v1,1778349725.863686,1778349725.869273,5.587,0.229,0
1778349899.0406778,esp32,CNN_32x32_v1,1778349898.992783,1778349898.998375,5.592,0.225,1
1778350079.7005591,esp32,CNN_32x32_v1,1778350079.65235,1778350079.657907,5.557,0.224,0
1778350493.3247886,esp32,CNN_32x32_v1,1778350493.277938,1778350493.283647,5.709,0.211,1
1778350655.3285298,esp32,CNN_32x32_v1,1778350655.277562,1778350655.283207,5.645,0.247,0
1778350817.0367281,esp32,CNN_32x32_v1,1778350816.989477,1778350816.995129,5.652,0.239,1
1778351001.6445749,esp32,CNN_32x32_v1,1778351001.592923,1778351001.598559,5.636,0.24,0
